cohort,mortality_available,standardization,state_definition,state,n,percent,population
charls,True,fixed,matched_0.25,unimpaired,40076,60.691785800823844,living_domain_states_with_validated_death_endpoint
elsa,False,fixed,matched_0.25,cognitive_only,13158,15.425195188858408,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.25,functional_only,12468,14.616304424280791,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.25,joint,8060,9.44878197463131,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.25,unimpaired,51616,60.50971841222949,living_domain_states_mortality_endpoint_unavailable
hrs,True,fixed,matched_0.25,cognitive_only,29194,16.084671243292085,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.25,functional_only,21687,11.948628665248867,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.25,joint,16919,9.321660367378872,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.25,unimpaired,113702,62.64503972408018,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.25,cognitive_only,6361,17.7493163681009,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.25,functional_only,1674,4.67101958814666,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.25,joint,2349,6.554495228528378,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.25,unimpaired,25454,71.02516881522406,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.25,cognitive_only,11769,17.818859011627907,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.25,functional_only,6363,9.63390261627907,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.25,joint,4751,7.193253391472868,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.25,unimpaired,43165,65.35398498062015,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.25,cognitive_only,41947,17.424336830911614,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.25,functional_only,20350,8.45317315920212,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.25,joint,18258,7.584178650649253,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.25,unimpaired,160183,66.53831135923701,living_domain_states_with_validated_death_endpoint
charls,True,wave,legacy,cognitive_only,16025,23.271517985507035,five_state_including_validated_death
charls,True,wave,legacy,death,2829,4.10827609241806,five_state_including_validated_death
